params,mean_concordance,std_concordance,split0_c_index,split1_c_index,split2_c_index,split3_c_index,split4_c_index,split5_c_index,split6_c_index,split7_c_index,split8_c_index
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 0.001}",0.7796337826756883,0.11175987371570152,0.9060402684563759,0.8175675675675675,0.7642857142857142,0.6690140845070423,0.6879432624113475,0.5584415584415584,0.875,0.8741258741258742,0.8642857142857143
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.795567886535842,0.09122812739108713,0.87248322147651,0.8040540540540541,0.7428571428571429,0.7605633802816901,0.6666666666666666,0.6688311688311688,0.8,0.916083916083916,0.9285714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 1e-05}",0.7838038788485832,0.11339300872619686,0.8120805369127517,0.8040540540540541,0.6785714285714286,0.795774647887324,0.6950354609929078,0.5584415584415584,0.8875,0.9370629370629371,0.8857142857142857
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.001, 'weight_decay': 0.001}",0.7673632011795058,0.12345553744881263,0.8590604026845637,0.7837837837837838,0.6928571428571428,0.7112676056338029,0.5957446808510638,0.5714285714285714,0.86875,0.9090909090909091,0.9142857142857143
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.7542170147265825,0.08384289872920715,0.8120805369127517,0.8243243243243243,0.7285714285714285,0.6830985915492958,0.6312056737588653,0.6233766233766234,0.83125,0.8111888111888111,0.8428571428571429
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.001, 'weight_decay': 1e-05}",0.7669120706339789,0.1002568596007204,0.8590604026845637,0.7972972972972973,0.7,0.7816901408450704,0.6879432624113475,0.551948051948052,0.79375,0.9090909090909091,0.8214285714285714
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.0005, 'weight_decay': 0.001}",0.7787585125867336,0.10627795258066405,0.8053691275167785,0.8243243243243243,0.6928571428571428,0.647887323943662,0.6666666666666666,0.6623376623376623,0.89375,0.9370629370629371,0.8785714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.0005, 'weight_decay': 0.0001}",0.7680322044167368,0.11227644340290752,0.8993288590604027,0.7635135135135135,0.7357142857142858,0.7746478873239436,0.6312056737588653,0.538961038961039,0.8375,0.8671328671328671,0.8642857142857143
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.0005, 'weight_decay': 1e-05}",0.757687737679713,0.11924202735483778,0.8791946308724832,0.7635135135135135,0.6285714285714286,0.7464788732394366,0.6737588652482269,0.538961038961039,0.8,0.8601398601398601,0.9285714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.01, 'weight_decay': 0.001}",0.7780566402118434,0.12528597101726027,0.8657718120805369,0.8648648648648649,0.6357142857142857,0.6408450704225352,0.6595744680851063,0.6233766233766234,0.875,0.9230769230769231,0.9142857142857143
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.01, 'weight_decay': 0.0001}",0.7902178582962773,0.1030554063014499,0.8993288590604027,0.8378378378378378,0.6857142857142857,0.7887323943661971,0.7730496453900709,0.564935064935065,0.825,0.9230769230769231,0.8142857142857143
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.01, 'weight_decay': 1e-05}",0.786622629698623,0.12614827165732995,0.9060402684563759,0.777027027027027,0.7071428571428572,0.8380281690140845,0.6453900709219859,0.551948051948052,0.78125,0.9370629370629371,0.9357142857142857
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.001, 'weight_decay': 0.001}",0.7515558234255377,0.0710627660076135,0.825503355704698,0.7297297297297297,0.7,0.676056338028169,0.7304964539007093,0.6298701298701299,0.81875,0.8321678321678322,0.8214285714285714
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.001, 'weight_decay': 0.0001}",0.7683667182309237,0.09975478492282096,0.8523489932885906,0.75,0.6785714285714286,0.647887323943662,0.6453900709219859,0.6948051948051948,0.89375,0.8811188811188811,0.8714285714285714
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.001, 'weight_decay': 1e-05}",0.7490707730438866,0.1139186834879779,0.8926174496644296,0.7364864864864865,0.6357142857142857,0.6690140845070423,0.6879432624113475,0.564935064935065,0.78125,0.8951048951048951,0.8785714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.0005, 'weight_decay': 0.001}",0.7547703542192323,0.08912294296710023,0.7785234899328859,0.7635135135135135,0.7714285714285715,0.6338028169014085,0.6453900709219859,0.6493506493506493,0.875,0.7902097902097902,0.8857142857142857
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.0005, 'weight_decay': 0.0001}",0.776450255190893,0.07941789689361622,0.8590604026845637,0.8040540540540541,0.7357142857142858,0.704225352112676,0.7304964539007093,0.6233766233766234,0.80625,0.8391608391608392,0.8857142857142857
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.0005, 'weight_decay': 1e-05}",0.7383624284917719,0.07291102945523424,0.7986577181208053,0.7702702702702703,0.6714285714285714,0.6971830985915493,0.6382978723404256,0.6363636363636364,0.79375,0.8321678321678322,0.8071428571428572
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 0.001}",0.7804914038282711,0.1196487965869896,0.8859060402684564,0.8040540540540541,0.65,0.7112676056338029,0.6312056737588653,0.6233766233766234,0.88125,0.9230769230769231,0.9142857142857143
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.8024386893283624,0.09547298718861413,0.9060402684563759,0.8243243243243243,0.7214285714285714,0.7746478873239436,0.723404255319149,0.6168831168831169,0.875,0.9230769230769231,0.8571428571428571
