params,mean_concordance,std_concordance,split0_c_index,split1_c_index,split2_c_index,split3_c_index,split4_c_index,split5_c_index,split6_c_index,split7_c_index,split8_c_index
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.01, 'weight_decay': 0.001}",0.762508511851022,0.09950990858608719,0.9328859060402684,0.75,0.7642857142857142,0.6267605633802817,0.7943262411347518,0.5974025974025974,0.8625,0.7272727272727273,0.8071428571428572
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.7587013406298099,0.12099048895367354,0.9261744966442953,0.7905405405405406,0.7,0.6619718309859155,0.75177304964539,0.4935064935064935,0.85,0.7972027972027972,0.8571428571428571
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.01, 'weight_decay': 1e-05}",0.7444226678022733,0.1265383969365558,0.912751677852349,0.7972972972972973,0.75,0.5915492957746479,0.7730496453900709,0.4675324675324675,0.83125,0.7692307692307693,0.8071428571428572
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.001, 'weight_decay': 0.001}",0.7387476113808064,0.1016133000494149,0.8791946308724832,0.8445945945945946,0.7285714285714285,0.7323943661971831,0.6879432624113475,0.5064935064935064,0.80625,0.7132867132867133,0.75
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.7474228507790709,0.11445361657906448,0.9328859060402684,0.7702702702702703,0.7428571428571429,0.676056338028169,0.7801418439716312,0.4805194805194805,0.76875,0.8181818181818182,0.7571428571428571
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.001, 'weight_decay': 1e-05}",0.7248039009251885,0.11875160646489943,0.825503355704698,0.8648648648648649,0.7285714285714285,0.5915492957746479,0.723404255319149,0.461038961038961,0.78125,0.8041958041958042,0.7428571428571429
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.0005, 'weight_decay': 0.001}",0.7227878964054908,0.1363689059892912,0.8657718120805369,0.7635135135135135,0.7071428571428572,0.7323943661971831,0.7021276595744681,0.37012987012987014,0.725,0.8461538461538461,0.7928571428571428
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.0005, 'weight_decay': 0.0001}",0.7465553282343949,0.10671830473144202,0.8389261744966443,0.8581081081081081,0.7285714285714285,0.6830985915492958,0.7730496453900709,0.4805194805194805,0.78125,0.8111888111888111,0.7642857142857142
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.0005, 'weight_decay': 1e-05}",0.6919966175173324,0.15675960494662244,0.8859060402684564,0.8378378378378378,0.6285714285714286,0.4788732394366197,0.6595744680851063,0.3961038961038961,0.79375,0.7902097902097902,0.7571428571428571
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.01, 'weight_decay': 0.001}",0.7704313941056041,0.131737082407223,0.9060402684563759,0.8108108108108109,0.7357142857142858,0.6338028169014085,0.6312056737588653,0.5454545454545454,0.875,0.8601398601398601,0.9357142857142857
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.01, 'weight_decay': 0.0001}",0.7293235184121484,0.1344599104856593,0.8590604026845637,0.777027027027027,0.8071428571428572,0.6549295774647887,0.574468085106383,0.44155844155844154,0.825,0.8461538461538461,0.7785714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.01, 'weight_decay': 1e-05}",0.7436901232150578,0.14450657751364157,0.9328859060402684,0.8581081081081081,0.7214285714285714,0.5422535211267606,0.7021276595744681,0.4935064935064935,0.84375,0.7062937062937062,0.8928571428571429
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.001, 'weight_decay': 0.001}",0.726185802414828,0.10772394984306154,0.8590604026845637,0.7837837837837838,0.75,0.5422535211267606,0.624113475177305,0.577922077922078,0.7875,0.8181818181818182,0.7928571428571428
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.001, 'weight_decay': 0.0001}",0.7283990435736393,0.11768719883006783,0.8859060402684564,0.8243243243243243,0.7357142857142858,0.5704225352112676,0.5531914893617021,0.5909090909090909,0.81875,0.7692307692307693,0.8071428571428572
