params,mean_concordance,std_concordance,split0_c_index,split1_c_index,split2_c_index,split3_c_index,split4_c_index,split5_c_index,split6_c_index,split7_c_index,split8_c_index
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.6807717820208066,0.1276619562053723,0.6845637583892618,0.41216216216216217,0.6,0.7887323943661971,0.6453900709219859,0.7922077922077922,0.74375,0.8601398601398601,0.6
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.01, 'weight_decay': 1e-05}",0.6896453166765514,0.1013302203639293,0.738255033557047,0.7094594594594594,0.4642857142857143,0.7676056338028169,0.6453900709219859,0.6493506493506493,0.69375,0.8601398601398601,0.6785714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.6981907377459812,0.09047222388780622,0.7651006711409396,0.668918918918919,0.5142857142857142,0.7253521126760564,0.7446808510638298,0.6233766233766234,0.84375,0.7482517482517482,0.65
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.001, 'weight_decay': 1e-05}",0.6333872541234501,0.12089649140543944,0.6711409395973155,0.34459459459459457,0.5142857142857142,0.7112676056338029,0.6312056737588653,0.6818181818181818,0.66875,0.7202797202797203,0.7571428571428571
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.0005, 'weight_decay': 0.0001}",0.6703254321096171,0.12305820630288568,0.7315436241610739,0.8108108108108109,0.4785714285714286,0.6901408450704225,0.6595744680851063,0.7792207792207793,0.45,0.7902097902097902,0.6428571428571429
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.0005, 'weight_decay': 1e-05}",0.6005097436669897,0.13272258739615875,0.738255033557047,0.49324324324324326,0.65,0.5704225352112676,0.6170212765957447,0.564935064935065,0.33125,0.8251748251748252,0.6142857142857143
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.01, 'weight_decay': 0.0001}",0.7241655350484967,0.08134855573021497,0.7583892617449665,0.7297297297297297,0.5428571428571428,0.7746478873239436,0.723404255319149,0.7987012987012987,0.75,0.8111888111888111,0.6285714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.01, 'weight_decay': 1e-05}",0.6823055024784088,0.13953499637621247,0.5973154362416108,0.5945945945945946,0.6642857142857143,0.8591549295774648,0.6950354609929078,0.7337662337662337,0.74375,0.8671328671328671,0.38571428571428573
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.001, 'weight_decay': 0.0001}",0.6357203105556427,0.09942092658733029,0.5436241610738255,0.6554054054054054,0.5285714285714286,0.7112676056338029,0.5319148936170213,0.5974025974025974,0.6,0.8461538461538461,0.7071428571428572
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.001, 'weight_decay': 1e-05}",0.5715755901086559,0.1362438635504954,0.6778523489932886,0.581081081081081,0.7071428571428572,0.6126760563380281,0.5035460992907801,0.7987012987012987,0.49375,0.42657342657342656,0.34285714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.0005, 'weight_decay': 0.0001}",0.6285865412007277,0.1124732686520504,0.5234899328859061,0.7162162162162162,0.4714285714285714,0.6901408450704225,0.5319148936170213,0.6298701298701299,0.5625,0.8531468531468531,0.6785714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.0005, 'weight_decay': 1e-05}",0.6346334957484002,0.11489852832727769,0.6711409395973155,0.7027027027027027,0.6214285714285714,0.6549295774647887,0.6382978723404256,0.6493506493506493,0.325,0.7202797202797203,0.7285714285714285
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.01, 'weight_decay': 0.0001}",0.7187730512392178,0.12203712595103651,0.7651006711409396,0.777027027027027,0.42142857142857143,0.795774647887324,0.6382978723404256,0.7467532467532467,0.8,0.8531468531468531,0.6714285714285714
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.01, 'weight_decay': 1e-05}",0.6396652133687367,0.12475118148859572,0.5503355704697986,0.75,0.5785714285714286,0.7816901408450704,0.6382978723404256,0.6948051948051948,0.7,0.7132867132867133,0.35
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.001, 'weight_decay': 0.0001}",0.6910258410427603,0.12268728027734245,0.47651006711409394,0.7905405405405406,0.5071428571428571,0.7676056338028169,0.7659574468085106,0.7337662337662337,0.5875,0.7902097902097902,0.8
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.001, 'weight_decay': 1e-05}",0.6833674674074562,0.062065883910626715,0.7583892617449665,0.6824324324324325,0.6571428571428571,0.6971830985915493,0.6028368794326241,0.7077922077922078,0.725,0.7552447552447552,0.5642857142857143
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.0005, 'weight_decay': 0.0001}",0.6595360143412864,0.08003689820505552,0.7583892617449665,0.7027027027027027,0.6357142857142857,0.6619718309859155,0.5815602836879432,0.6883116883116883,0.58125,0.7902097902097902,0.5357142857142857
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 64, 'lr': 0.0005, 'weight_decay': 1e-05}",0.6900302569498291,0.09923791372949207,0.7114093959731543,0.6486486486486487,0.55,0.7323943661971831,0.5602836879432624,0.6688311688311688,0.69375,0.9020979020979021,0.7428571428571429
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.7009269204087999,0.1434421962103539,0.6644295302013423,0.8783783783783784,0.6571428571428571,0.8098591549295775,0.5035460992907801,0.7467532467532467,0.73125,0.8741258741258742,0.44285714285714284
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 16, 'lr': 0.01, 'weight_decay': 1e-05}",0.698240652937634,0.1237623974890995,0.7315436241610739,0.7837837837837838,0.4,0.8028169014084507,0.624113475177305,0.7597402597402597,0.7,0.8321678321678322,0.65
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.6892878839554861,0.1154126697168468,0.7516778523489933,0.7432432432432432,0.4785714285714286,0.852112676056338,0.7375886524822695,0.5844155844155844,0.6875,0.8041958041958042,0.5642857142857143
