params,mean_concordance,std_concordance,split0_c_index,split1_c_index,split2_c_index,split3_c_index,split4_c_index,split5_c_index,split6_c_index,split7_c_index,split8_c_index
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.6949510158132896,0.11423154958802459,0.5503355704697986,0.49324324324324326,0.6642857142857143,0.6830985915492958,0.7163120567375887,0.7922077922077922,0.78125,0.8881118881118881,0.6857142857142857
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 1e-05}",0.7312443876673267,0.10843745467489774,0.7651006711409396,0.6824324324324325,0.5642857142857143,0.7605633802816901,0.8014184397163121,0.7922077922077922,0.55625,0.916083916083916,0.7428571428571429
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.6742593069449341,0.10094500727533091,0.4429530201342282,0.6959459459459459,0.65,0.7535211267605634,0.6666666666666666,0.8051948051948052,0.60625,0.7692307692307693,0.6785714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.001, 'weight_decay': 1e-05}",0.6992027054731191,0.103352929441863,0.5704697986577181,0.49324324324324326,0.75,0.8028169014084507,0.7304964539007093,0.8116883116883117,0.64375,0.7832167832167832,0.7071428571428572
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.0005, 'weight_decay': 0.0001}",0.6988691113478177,0.1119380144848646,0.7583892617449665,0.6824324324324325,0.5714285714285714,0.7746478873239436,0.48226950354609927,0.7207792207792207,0.825,0.8391608391608392,0.6357142857142857
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.0005, 'weight_decay': 1e-05}",0.7103220643050655,0.07095603338659735,0.5771812080536913,0.668918918918919,0.7142857142857143,0.8028169014084507,0.7446808510638298,0.7142857142857143,0.65,0.6993006993006993,0.8214285714285714
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.01, 'weight_decay': 0.0001}",0.5926698117842055,0.18795050053620652,0.5100671140939598,0.39864864864864863,0.6,0.6267605633802817,0.7446808510638298,0.8051948051948052,0.475,0.8951048951048951,0.2785714285714286
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.01, 'weight_decay': 1e-05}",0.7307095058153583,0.11180485070617359,0.738255033557047,0.6283783783783784,0.8285714285714286,0.8309859154929577,0.7375886524822695,0.7207792207792207,0.61875,0.9230769230769231,0.55
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.001, 'weight_decay': 0.0001}",0.6665455857240867,0.12340755777829403,0.5503355704697986,0.7027027027027027,0.6857142857142857,0.6971830985915493,0.624113475177305,0.7142857142857143,0.4,0.8531468531468531,0.7714285714285715
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.001, 'weight_decay': 1e-05}",0.6728613822088726,0.06275307757336374,0.7315436241610739,0.722972972972973,0.5428571428571428,0.7183098591549296,0.723404255319149,0.7207792207792207,0.63125,0.6503496503496503,0.6142857142857143
