params,mean_concordance,std_concordance,split0_c_index,split1_c_index,split2_c_index,split3_c_index,split4_c_index,split5_c_index,split6_c_index,split7_c_index,split8_c_index
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 0.001}",0.5723630418227343,0.21768843604655416,0.6026490066225165,0.8523489932885906,0.2645161290322581,0.30935251798561153,0.7573529411764706,0.4067796610169492,0.4222222222222222,0.6619718309859155,0.8740740740740741
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.6170585473422279,0.17043798349515568,0.7350993377483444,0.38926174496644295,0.8,0.49640287769784175,0.7573529411764706,0.6779661016949152,0.8148148148148148,0.5492957746478874,0.3333333333333333
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 1e-05}",0.7295096942460197,0.08059920061344056,0.5629139072847682,0.6510067114093959,0.832258064516129,0.7697841726618705,0.8088235294117647,0.6694915254237288,0.7481481481481481,0.7676056338028169,0.7555555555555555
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.001, 'weight_decay': 0.001}",0.6633626407116325,0.10868799369577992,0.7417218543046358,0.6308724832214765,0.45161290322580644,0.7553956834532374,0.6691176470588235,0.7033898305084746,0.7185185185185186,0.5070422535211268,0.7925925925925926
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.6341665903207403,0.12662394350672213,0.5165562913907285,0.7046979865771812,0.6580645161290323,0.6834532374100719,0.7573529411764706,0.4067796610169492,0.6962962962962963,0.8028169014084507,0.48148148148148145
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.001, 'weight_decay': 1e-05}",0.564456250267003,0.1815331032399813,0.40397350993377484,0.31543624161073824,0.32903225806451614,0.49640287769784175,0.8455882352941176,0.5932203389830508,0.6074074074074074,0.7112676056338029,0.7777777777777778
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.0005, 'weight_decay': 0.001}",0.565594224042391,0.1481965198600237,0.7615894039735099,0.5167785234899329,0.6258064516129033,0.302158273381295,0.7573529411764706,0.576271186440678,0.37037037037037035,0.528169014084507,0.6518518518518519
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.0005, 'weight_decay': 0.0001}",0.5307551035732012,0.13406620904760688,0.3708609271523179,0.6375838926174496,0.567741935483871,0.5035971223021583,0.6397058823529411,0.788135593220339,0.3851851851851852,0.38028169014084506,0.5037037037037037
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.0005, 'weight_decay': 1e-05}",0.4804654606144491,0.17387596547590886,0.41721854304635764,0.7046979865771812,0.2838709677419355,0.41007194244604317,0.6323529411764706,0.3050847457627119,0.6148148148148148,0.704225352112676,0.2518518518518518
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.01, 'weight_decay': 0.001}",0.6261406348848898,0.17062588892842745,0.7350993377483444,0.4429530201342282,0.6774193548387096,0.6834532374100719,0.7647058823529411,0.211864406779661,0.7111111111111111,0.6901408450704225,0.7185185185185186
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.01, 'weight_decay': 0.0001}",0.663574271892317,0.15528578896663858,0.7483443708609272,0.8523489932885906,0.4129032258064516,0.762589928057554,0.39705882352941174,0.7288135593220338,0.6074074074074074,0.647887323943662,0.8148148148148148
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.01, 'weight_decay': 1e-05}",0.7039871927373256,0.1275213018911821,0.6490066225165563,0.8120805369127517,0.7096774193548387,0.7841726618705036,0.3897058823529412,0.7796610169491526,0.8148148148148148,0.6338028169014085,0.762962962962963
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.001, 'weight_decay': 0.001}",0.6085047676100692,0.15487769933645554,0.7284768211920529,0.5033557046979866,0.44516129032258067,0.7266187050359713,0.8602941176470589,0.652542372881356,0.6148148148148148,0.6267605633802817,0.31851851851851853
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.001, 'weight_decay': 0.0001}",0.5329392566091327,0.1345959201596611,0.4370860927152318,0.5570469798657718,0.8193548387096774,0.3381294964028777,0.625,0.4491525423728814,0.5407407407407407,0.4225352112676056,0.6074074074074074
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.001, 'weight_decay': 1e-05}",0.5666123294087924,0.19988246735904358,0.7814569536423841,0.5302013422818792,0.2838709677419355,0.60431654676259,0.8014705882352942,0.3220338983050847,0.7407407407407407,0.31690140845070425,0.7185185185185186
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.0005, 'weight_decay': 0.001}",0.6666845895982525,0.13569012314970966,0.5496688741721855,0.5302013422818792,0.7870967741935484,0.7769784172661871,0.8308823529411765,0.7711864406779662,0.7333333333333333,0.5985915492957746,0.4222222222222222
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.0005, 'weight_decay': 0.0001}",0.5508270393973871,0.19685420426041422,0.6622516556291391,0.3959731543624161,0.2903225806451613,0.5611510791366906,0.7573529411764706,0.7372881355932204,0.7185185185185186,0.19014084507042253,0.6444444444444445
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.0005, 'weight_decay': 1e-05}",0.5920731936136717,0.12440017577131657,0.3576158940397351,0.6778523489932886,0.7354838709677419,0.697841726618705,0.5,0.6779661016949152,0.674074074074074,0.5633802816901409,0.4444444444444444
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 0.001}",0.6793469309702163,0.11088572107625519,0.7350993377483444,0.5570469798657718,0.7870967741935484,0.8129496402877698,0.7794117647058824,0.6864406779661016,0.4740740740740741,0.704225352112676,0.5777777777777777
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 64, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.5775580186547434,0.16127558087256497,0.7417218543046358,0.4395973154362416,0.43870967741935485,0.4316546762589928,0.5073529411764706,0.7288135593220338,0.37037037037037035,0.7323943661971831,0.8074074074074075
