params,mean_concordance,std_concordance,split0_c_index,split1_c_index,split2_c_index,split3_c_index,split4_c_index,split5_c_index,split6_c_index,split7_c_index,split8_c_index
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.01, 'weight_decay': 0.001}",0.6270293396384782,0.11330104995266804,0.695364238410596,0.7583892617449665,0.7870967741935484,0.5179856115107914,0.5147058823529411,0.5847457627118644,0.4444444444444444,0.7183098591549296,0.6222222222222222
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.6057972383824931,0.13734084617481537,0.6821192052980133,0.3691275167785235,0.45806451612903226,0.5035971223021583,0.7205882352941176,0.6864406779661016,0.8,0.5211267605633803,0.7111111111111111
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.01, 'weight_decay': 1e-05}",0.6180593522626094,0.12793986893714052,0.37748344370860926,0.4429530201342282,0.7096774193548387,0.5683453237410072,0.7352941176470589,0.7542372881355932,0.6,0.6338028169014085,0.7407407407407407
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.001, 'weight_decay': 0.001}",0.6342952968975947,0.09689666713253178,0.6026490066225165,0.6040268456375839,0.6645161290322581,0.4244604316546763,0.6544117647058824,0.652542372881356,0.8222222222222222,0.6690140845070423,0.6148148148148148
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.5515872577627923,0.12964457998410067,0.2980132450331126,0.5906040268456376,0.7354838709677419,0.5467625899280576,0.45588235294117646,0.4745762711864407,0.6888888888888889,0.5,0.674074074074074
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.001, 'weight_decay': 1e-05}",0.4897710301600189,0.14085098952716035,0.4966887417218543,0.4429530201342282,0.4645161290322581,0.23741007194244604,0.6470588235294118,0.3559322033898305,0.45925925925925926,0.5633802816901409,0.7407407407407407
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.0005, 'weight_decay': 0.001}",0.6233809385210558,0.10544854037164646,0.45695364238410596,0.5570469798657718,0.7354838709677419,0.48201438848920863,0.7352941176470589,0.6016949152542372,0.6518518518518519,0.6197183098591549,0.7703703703703704
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.0005, 'weight_decay': 0.0001}",0.5730663129813451,0.1296819872684767,0.4105960264900662,0.610738255033557,0.5806451612903226,0.5107913669064749,0.6029411764705882,0.8135593220338984,0.45185185185185184,0.7394366197183099,0.43703703703703706
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.0005, 'weight_decay': 1e-05}",0.5988442555395075,0.12518063464655452,0.37748344370860926,0.5436241610738255,0.6387096774193548,0.4748201438848921,0.5073529411764706,0.7711864406779662,0.6444444444444445,0.6690140845070423,0.762962962962963
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.01, 'weight_decay': 0.001}",0.5489287265846262,0.13831690436036573,0.4966887417218543,0.44966442953020136,0.7548387096774194,0.4748201438848921,0.40441176470588236,0.6101694915254238,0.34814814814814815,0.6830985915492958,0.7185185185185186
