params,mean_concordance,std_concordance,split0_c_index,split1_c_index,split2_c_index,split3_c_index,split4_c_index,split5_c_index,split6_c_index,split7_c_index,split8_c_index
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.5413610733987123,0.1309086440758987,0.695364238410596,0.4429530201342282,0.6258064516129033,0.31654676258992803,0.47794117647058826,0.711864406779661,0.5851851851851851,0.39436619718309857,0.6222222222222222
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.01, 'weight_decay': 1e-05}",0.5394344036150287,0.14074830581721295,0.3708609271523179,0.5436241610738255,0.4967741935483871,0.5755395683453237,0.6544117647058824,0.6779661016949152,0.6666666666666666,0.23943661971830985,0.6296296296296297
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.4866938580390865,0.15106095844793072,0.6423841059602649,0.42953020134228187,0.4064516129032258,0.7050359712230215,0.6323529411764706,0.2457627118644068,0.5333333333333333,0.28169014084507044,0.5037037037037037
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.001, 'weight_decay': 1e-05}",0.5215805481805066,0.12572022539139704,0.5496688741721855,0.6241610738255033,0.6193548387096774,0.5251798561151079,0.3382352941176471,0.7457627118644068,0.35555555555555557,0.5140845070422535,0.4222222222222222
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.0005, 'weight_decay': 0.0001}",0.47235922953792225,0.10172350019415234,0.4304635761589404,0.3624161073825503,0.4258064516129032,0.5251798561151079,0.5441176470588235,0.6016949152542372,0.2814814814814815,0.5985915492957746,0.48148148148148145
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 16, 'lr': 0.0005, 'weight_decay': 1e-05}",0.47593850948840416,0.1394429145158816,0.6754966887417219,0.4697986577181208,0.6967741935483871,0.39568345323741005,0.4411764705882353,0.3813559322033898,0.5925925925925926,0.2676056338028169,0.362962962962963
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.01, 'weight_decay': 0.0001}",0.5054159208486574,0.14302867074129383,0.5496688741721855,0.3624161073825503,0.36129032258064514,0.6474820143884892,0.33088235294117646,0.788135593220339,0.45185185185185184,0.47183098591549294,0.5851851851851851
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.01, 'weight_decay': 1e-05}",0.4986511677058668,0.12970910559377416,0.37748344370860926,0.5167785234899329,0.7548387096774194,0.6546762589928058,0.3897058823529412,0.3559322033898305,0.562962962962963,0.4014084507042254,0.4740740740740741
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.001, 'weight_decay': 0.0001}",0.49460717685165545,0.11546293460403458,0.5960264900662252,0.44966442953020136,0.3741935483870968,0.38848920863309355,0.7058823529411765,0.5423728813559322,0.31851851851851853,0.528169014084507,0.5481481481481482
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 64, 'hidden2': 32, 'lr': 0.001, 'weight_decay': 1e-05}",0.5088428542264045,0.11912950846072896,0.32450331125827814,0.3624161073825503,0.7032258064516129,0.5683453237410072,0.4117647058823529,0.6271186440677966,0.5037037037037037,0.4859154929577465,0.5925925925925926
