params,mean_concordance,std_concordance,split0_c_index,split1_c_index,split2_c_index,split3_c_index,split4_c_index,split5_c_index,split6_c_index,split7_c_index,split8_c_index
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 0.0001}",0.4217750001676229,0.10348555602312702,0.2847682119205298,0.6174496644295302,0.5483870967741935,0.4460431654676259,0.34558823529411764,0.4661016949152542,0.37777777777777777,0.30985915492957744,0.4
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.01, 'weight_decay': 1e-05}",0.5680731864696997,0.09295985539921517,0.7483443708609272,0.5302013422818792,0.6516129032258065,0.43884892086330934,0.625,0.4915254237288136,0.4962962962962963,0.6197183098591549,0.5111111111111111
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.001, 'weight_decay': 0.0001}",0.5334005378366409,0.1040282258150363,0.47019867549668876,0.4161073825503356,0.7096774193548387,0.5755395683453237,0.5441176470588235,0.3474576271186441,0.5777777777777777,0.6338028169014085,0.5259259259259259
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.001, 'weight_decay': 1e-05}",0.5269252505731474,0.147615877275069,0.4105960264900662,0.26174496644295303,0.6387096774193548,0.7122302158273381,0.4632352941176471,0.7203389830508474,0.5703703703703704,0.3873239436619718,0.5777777777777777
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.0005, 'weight_decay': 0.0001}",0.558706009945816,0.09104591116896717,0.695364238410596,0.348993288590604,0.6387096774193548,0.5971223021582733,0.5294117647058824,0.6016949152542372,0.5407407407407407,0.528169014084507,0.5481481481481482
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 16, 'lr': 0.0005, 'weight_decay': 1e-05}",0.572807718664461,0.10761677470503862,0.5695364238410596,0.5503355704697986,0.6064516129032258,0.7338129496402878,0.5588235294117647,0.3898305084745763,0.5333333333333333,0.7464788732394366,0.4666666666666667
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.01, 'weight_decay': 0.0001}",0.5060647683498558,0.10993051036523627,0.5629139072847682,0.6174496644295302,0.4967741935483871,0.38848920863309355,0.40441176470588236,0.4576271186440678,0.6444444444444445,0.3380281690140845,0.6444444444444445
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.01, 'weight_decay': 1e-05}",0.5273892822131564,0.19090034926461977,0.33112582781456956,0.4429530201342282,0.7290322580645161,0.6834532374100719,0.4264705882352941,0.3813559322033898,0.48148148148148145,0.352112676056338,0.9185185185185185
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.001, 'weight_decay': 0.0001}",0.5435325906349505,0.07039712450069072,0.5629139072847682,0.5771812080536913,0.5387096774193548,0.5035971223021583,0.6102941176470589,0.6610169491525424,0.4740740740740741,0.4084507042253521,0.5555555555555556
"{'batch_size': 32, 'decay_lr': 0.003, 'dropout': 0.3, 'epochs': 500, 'hidden1': 128, 'hidden2': 64, 'hidden3': 32, 'hidden4': 32, 'lr': 0.001, 'weight_decay': 1e-05}",0.44095149339335465,0.10384733191307921,0.33112582781456956,0.5100671140939598,0.4064516129032258,0.45323741007194246,0.5514705882352942,0.3474576271186441,0.4074074074074074,0.31690140845070425,0.6444444444444445
