mean_concordance,std_concordance,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.5145338497106594,0.09170277920737345,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 200, 'lr': 0.01, 'num_nodes_layer1': 64, 'num_nodes_layer2': 32}",0.6823104693140795,0.4642857142857143,0.5317919075144508,0.47869674185463656,0.4155844155844156
0.524881783177465,0.06442533918659073,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 200, 'lr': 0.01, 'num_nodes_layer1': 64, 'num_nodes_layer2': 64}",0.5054151624548736,0.5142857142857142,0.6416184971098265,0.44360902255639095,0.5194805194805194
0.6328643625792771,0.10377618134970727,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 200, 'lr': 0.01, 'num_nodes_layer1': 128, 'num_nodes_layer2': 32}",0.6389891696750902,0.5357142857142857,0.5028901734104047,0.7042606516290727,0.7824675324675324
0.539109774013887,0.13998520743294998,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 200, 'lr': 0.01, 'num_nodes_layer1': 128, 'num_nodes_layer2': 64}",0.6642599277978339,0.5142857142857142,0.2832369942196532,0.5714285714285714,0.6623376623376623
0.4657582389208783,0.11366605422202769,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 200, 'lr': 0.001, 'num_nodes_layer1': 64, 'num_nodes_layer2': 32}",0.40794223826714804,0.3357142857142857,0.3930635838150289,0.6466165413533834,0.5454545454545454
0.4468057020290795,0.07158144918859595,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 200, 'lr': 0.001, 'num_nodes_layer1': 64, 'num_nodes_layer2': 64}",0.3898916967509025,0.44761904761904764,0.35260115606936415,0.48872180451127817,0.5551948051948052
0.44575003496132454,0.1432548918936663,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 200, 'lr': 0.001, 'num_nodes_layer1': 128, 'num_nodes_layer2': 32}",0.5667870036101083,0.6642857142857143,0.36416184971098264,0.3283208020050125,0.3051948051948052
0.476589173505348,0.09388229084712667,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 200, 'lr': 0.001, 'num_nodes_layer1': 128, 'num_nodes_layer2': 64}",0.6462093862815884,0.44761904761904764,0.3583815028901734,0.47619047619047616,0.45454545454545453
0.5177696651846431,0.14229083172253992,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 200, 'lr': 0.0001, 'num_nodes_layer1': 64, 'num_nodes_layer2': 32}",0.4404332129963899,0.4380952380952381,0.6069364161849711,0.3533834586466165,0.75
0.45531884269217315,0.11713536308370368,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 200, 'lr': 0.0001, 'num_nodes_layer1': 64, 'num_nodes_layer2': 64}",0.4151624548736462,0.3523809523809524,0.6011560693641619,0.5864661654135338,0.32142857142857145
0.4321778643249946,0.10404301358011873,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 200, 'lr': 0.0001, 'num_nodes_layer1': 128, 'num_nodes_layer2': 32}",0.36823104693140796,0.5666666666666667,0.2832369942196532,0.41353383458646614,0.5292207792207793
0.6248884305480195,0.09016233014989626,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 200, 'lr': 0.0001, 'num_nodes_layer1': 128, 'num_nodes_layer2': 64}",0.7075812274368231,0.4880952380952381,0.7398843930635838,0.5914786967418546,0.5974025974025974
0.5665868485826113,0.11973832263250017,"{'batch_size': 64, 'dropout': 0.3, 'epochs': 500, 'lr': 0.01, 'num_nodes_layer1': 64, 'num_nodes_layer2': 32}",0.5342960288808665,0.5738095238095238,0.6878612716763006,0.3583959899749373,0.6785714285714286
