seqname,source,feature,start,end,score,strand,frame,gene_id,gene_type,gene_name,level,tag,transcript_id,transcript_type,transcript_name,exon_number,exon_id,transcript_support_level,havana_transcript,hgnc_id,havana_gene,ont,protein_id,ccdsid,artif_dupl
chr1,ENSEMBL,gene,17369,17436,.,-,.,ENSG00000278267.1,miRNA,MIR6859-1,3,,,,,,,,,HGNC:50039,,,,,
chr1,ENSEMBL,transcript,17369,17436,.,-,.,ENSG00000278267.1,miRNA,MIR6859-1,3,GENCODE_Primary,ENST00000619216.1,miRNA,MIR6859-1-201,,,NA,,HGNC:50039,,,,,
chr1,ENSEMBL,exon,17369,17436,.,-,.,ENSG00000278267.1,miRNA,MIR6859-1,3,GENCODE_Primary,ENST00000619216.1,miRNA,MIR6859-1-201,1,ENSE00003746039.1,NA,,HGNC:50039,,,,,
chr1,ENSEMBL,gene,30366,30503,.,+,.,ENSG00000284332.1,miRNA,MIR1302-2,3,,,,,,,,,HGNC:35294,,,,,
chr1,ENSEMBL,transcript,30366,30503,.,+,.,ENSG00000284332.1,miRNA,MIR1302-2,3,GENCODE_Primary,ENST00000607096.1,miRNA,MIR1302-2-201,,,NA,,HGNC:35294,,,,,
chr1,ENSEMBL,exon,30366,30503,.,+,.,ENSG00000284332.1,miRNA,MIR1302-2,3,GENCODE_Primary,ENST00000607096.1,miRNA,MIR1302-2-201,1,ENSE00003695741.1,NA,,HGNC:35294,,,,,
chr1,ENSEMBL,gene,187891,187958,.,-,.,ENSG00000273874.1,miRNA,MIR6859-2,3,,,,,,,,,HGNC:49954,,,,,
chr1,ENSEMBL,transcript,187891,187958,.,-,.,ENSG00000273874.1,miRNA,MIR6859-2,3,GENCODE_Primary,ENST00000612080.1,miRNA,MIR6859-2-201,,,NA,,HGNC:49954,,,,,
chr1,ENSEMBL,exon,187891,187958,.,-,.,ENSG00000273874.1,miRNA,MIR6859-2,3,GENCODE_Primary,ENST00000612080.1,miRNA,MIR6859-2-201,1,ENSE00003737837.1,NA,,HGNC:49954,,,,,
chr1,ENSEMBL,gene,632325,632413,.,-,.,ENSG00000278791.1,miRNA,ENSG00000278791,3,,,,,,,,,,,,,,
chr1,ENSEMBL,transcript,632325,632413,.,-,.,ENSG00000278791.1,miRNA,ENSG00000278791,3,GENCODE_Primary,ENST00000621981.1,miRNA,ENST00000621981,,,NA,,,,,,,
chr1,ENSEMBL,exon,632325,632413,.,-,.,ENSG00000278791.1,miRNA,ENSG00000278791,3,GENCODE_Primary,ENST00000621981.1,miRNA,ENST00000621981,1,ENSE00003745610.1,NA,,,,,,,
chr1,ENSEMBL,gene,1167104,1167198,.,+,.,ENSG00000207730.3,miRNA,MIR200B,3,,,,,,,,,HGNC:31579,,,,,
chr1,ENSEMBL,transcript,1167104,1167198,.,+,.,ENSG00000207730.3,miRNA,MIR200B,3,GENCODE_Primary,ENST00000384997.3,miRNA,MIR200B-201,,,NA,,HGNC:31579,,,,,
chr1,ENSEMBL,exon,1167104,1167198,.,+,.,ENSG00000207730.3,miRNA,MIR200B,3,GENCODE_Primary,ENST00000384997.3,miRNA,MIR200B-201,1,ENSE00001500004.3,NA,,HGNC:31579,,,,,
